documentNumber,paragraphNumber
3765,"7.5.1","2.2.1.","Капитальные вложения в объекты недвижимого имущества государственной (муниципальной) собственности","0501","3380153","400","+10000000"
3765,"7.5.1","2.2.1.","Капитальные вложения в объекты недвижимого имущества государственной (муниципальной) собственности","0501","3380153","400","+1000000.0"
3765,"7.6.3","БЮДЖЕТНЫЕ ИНВЕСТИЦИИ ОАО ""ЗАПАДНЫЙ СКОРОСТНОЙ ДИАМЕТР""","","","","","",""
3765,"7.6.3","БЮДЖЕТНЫЕ ИНВЕСТИЦИИ ОАО ""ЗАПАДНЫЙ СКОРОСТНОЙ ДИАМЕТР""","","","","+17563.0","+0.0","+0.0"
3765,"7.6.3","БЮДЖЕТНЫЕ ИНВЕСТИЦИИ ОАО ""ЮГО-ЗАПАДНАЯ ТЭЦ""","","","","","",""
3765,"7.6.3","БЮДЖЕТНЫЕ ИНВЕСТИЦИИ ОАО ""ЮГО-ЗАПАДНАЯ ТЭЦ""","","","","+4400000.0","+900000.0","+0.0"
3765,"7.6.3","БЮДЖЕТНЫЕ ИНВЕСТИЦИИ ОАО ""ТЕПЛОСЕТЬ САНКТ-ПЕТЕРБУРГА""","","","","","",""
3765,"7.6.3","БЮДЖЕТНЫЕ ИНВЕСТИЦИИ ОАО ""ТЕПЛОСЕТЬ САНКТ-ПЕТЕРБУРГА""","","","","+10000.0","+20000.0","+30000.0"
3765,"7.6.3","БЮДЖЕТНЫЕ ИНВЕСТИЦИИ ОАО ""САНКТ-ПЕТЕРБУРГСКИЕ ЭЛЕКТРИЧЕСКИЕ СЕТИ""","","","","","",""
3765,"7.6.3","БЮДЖЕТНЫЕ ИНВЕСТИЦИИ ОАО ""САНКТ-ПЕТЕРБУРГСКИЕ ЭЛЕКТРИЧЕСКИЕ СЕТИ""","","","","+135000.0","+232000.0","+207000.0"
3765,"7.6.3","БЮДЖЕТНЫЕ ИНВЕСТИЦИИ ОАО ""САНКТ-ПЕТЕРБУРГСКИЙ ЦЕНТР ДОСТУПНОГО ЖИЛЬЯ""","","","","","",""
3765,"7.6.3","БЮДЖЕТНЫЕ ИНВЕСТИЦИИ ОАО ""САНКТ-ПЕТЕРБУРГСКИЙ ЦЕНТР ДОСТУПНОГО ЖИЛЬЯ""","","","","+400000.0","+0.0","+1967000.0"
3765,"7.7.2","БЮДЖЕТНЫЕ ИНВЕСТИЦИИ ГУП ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""","","","","","",""
3765,"7.7.2","БЮДЖЕТНЫЕ ИНВЕСТИЦИИ ГУП ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""","","","","-15300.0","+0.0","+0.0"
3765,"8.1","ОСНАЩЕНИЕ ГРУППОВЫХ КОТЕЛЬНЫХ ВТОРЫМИ ВВОДАМИ ЭЛЕКТРОСНАБЖЕНИЯ, ВКЛЮЧАЯ ПИР","САНКТ-ПЕТЕРБУРГ","200К2015","","-4822.5","-2775.7","+0.0"
3765,"8.1","ОСНАЩЕНИЕ ГРУППОВЫХ КОТЕЛЬНЫХ ВТОРЫМИ ВВОДАМИ ЭЛЕКТРОСНАБЖЕНИЯ, ВКЛЮЧАЯ ПИР","САНКТ-ПЕТЕРБУРГ","2008-2015","","-4822.5","-2775.7","+0.0"
3765,"9.12","1.2.","Расходы на мероприятия в области сохранения, использования, популяризации и государственной охраны объектов культурного наследия","0601","4500466","","-1211.0"
3765,"9.12","1.2.","Расходы на мероприятия в области сохранения, использования, популяризации и государственной охраны объектов культурного наследия","0801","4500466","","-1211.0"
3765,"9.14","1.2.","Расходы на реализацию плана по комплексному контролю над диабетом в Санкт Петербурге 2012-2014 годы","0909","5220161","","+0.0"
3765,"9.14","1.2.","Расходы на реализацию плана по комплексному контролю над диабетом в Санкт Петербурге 2012-2014 годы","0909","5220181","","+0.0"
3781,"2","11.14.1.","Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям","0804","4400087","00","+20500.0"
3781,"2","11.14.1.","Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям","0804","4400087","600","+20500.0"
3781,"2","12.4.1.","Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям","0707","4310270","600","+51950.0"
3781,"2","12.4.1.","Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям","0707","4310170","600","+51950.0"
3781,"2","14.6.1.","Закупка товаров, работ и услуг для государственных (муниципальных) нужд","0704","4270051","600","+200.0"
3781,"2","14.6.1.","Закупка товаров, работ и услуг для государственных (муниципальных) нужд","0704","4270051","200","+200.0"
3781,"2","34.7.1.","Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям","0707","4310052","600","+500.0.0"
3781,"2","34.7.1.","Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям","0707","4310052","600","+5000.0"
3781,"2","38.2.1.","Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям","0701","1350102","200","+5100.0"
3781,"2","38.2.1.","Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям","0701","1350102","600","+5100.0"
3781,"2","38.3.1.","Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям","0702","1350103","200","+3700.0"
3781,"2","38.3.1.","Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям","0702","1350103","600","+3700.0"
3781,"3","1.4.","Расходы на реализацию мероприятий по развитию территорий нежилых зон","0412","921589","","+10400.0","+0.0"
3781,"3","1.4.","Расходы на реализацию мероприятий по развитию территорий нежилых зон","0412","0921589","","+10400.0","+0.0"
3781,"3","1.4.1.","Закупка товаров, работ и услуг для государственных (муниципальных) нужд","0412","921589","200","+10400.0","+0.0"
3781,"3","1.4.1.","Закупка товаров, работ и услуг для государственных (муниципальных) нужд","0412","0921589","200","+10400.0","+0.0"
4706,"9.28","1.5.1.","Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям","0505","1350173","6оо","+7607.5"
4706,"9.28","1.5.1.","Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям","0505","1350173","600","+7607.5"
4706,"10.2","1.2.","Субсидия АНО ""Дирекция Санкт-Петербургского международного культурного форума"" на подготовку и проведение Санкт-Петербургского международного культурного форума","0301","4400220","","+30000.0","+30000.0"
4706,"10.2","1.2.","Субсидия АНО ""Дирекция Санкт-Петербургского международного культурного форума"" на подготовку и проведение Санкт-Петербургского международного культурного форума","0801","4400220","","+30000.0","+30000.0"
