"fiscalYear","fiscalYearTotal","departmentName","departmentCode","departmentTotal","sectionCode","categoryName","categoryCode","categoryTotal","typeName","typeCode","amount"
2014,0.0,"КОМИТЕТ ПО ЗЕМЕЛЬНЫМ РЕСУРСАМ И ЗЕМЛЕУСТРОЙСТВУ САНКТ-ПЕТЕРБУРГА","817",-4500.0,"0410","Расходы на реализацию программы ""Целевая программа Санкт-Петербурга ""Сохранение и развитие территорий ""Конюшенная"" и ""Северная Коломна - Новая Голландия"", находящихся в историческом центра Санкт-Петербурга, на 2013-2018 годы""","5220226",-4500.0,"Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд","200",-4500.0
2014,0.0,"КОМИТЕТ ПО ГОСУДАРСТВЕННОМУ КОНТРОЛЮ, ИСПОЛЬЗОВАНИЮ И ОХРАНЕ ПАМЯТНИКОВ ИСТОРИИ И КУЛЬТУРЫ","814",4500.0,"0801","Расходы на мероприятия в области сохранения, использования, популяризации и государственной охраны объектов культурного наследия","4500466",4500.0,"Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд","200",4500.0
