authorId,authorShortName,authorLongName
1,Губернатор,Губернатор Санкт-Петербурга
2,БФК,Бюджетно-финансовый комитет
3,ГрадКом,"Комиссия по городскому хозяйству, градостроительству и земельным вопросам"
4,Высоцкий,Высоцкий Игорь Владимирович
